(1) Medicine & dentistry,52885,2155,7655,3175
(2) Subjects allied to medicine,233525,8595,30690,15255
(3) Biological sciences,189270,3615,24020,17060
(4) Veterinary science,6310,,1550,
(5) Agriculture & related subjects,14550,475,2345,1315
(6) Physical sciences,76320,1715,11885,5795
(7) Mathematical sciences,37730,585,4665,1600
(8) Computer science,84665,4360,12640,5585
(9) Engineering & technology,130560,3875,20670,9870
"(A) Architecture, building & planning",43720,1615,6155,2135
(B) Social studies,191935,4650,21200,11570
(C) Law,76995,2210,8750,4210
(D) Business & administrative studies,286975,7500,33220,15275
(E) Mass communications & documentation,44570,900,3440,2455
(F) Languages,81905,1700,12375,7560
(G) Historical & philosophical studies,66895,1220,11730,4270
(H) Creative arts & design,155635,2035,12170,8580
(I) Education,114945,6365,15635,8505
(J) Combined,22560,885,6305,5380
