(1) Medicine & dentistry,52015,2085,7645,3365
(2) Subjects allied to medicine,237615,8515,30160,14480
(3) Biological sciences,183610,3570,22935,16285
(4) Veterinary science,5600,,1545,
(5) Agriculture & related subjects,14600,585,2120,1340
(6) Physical sciences,75810,1710,11770,5885
(7) Mathematical sciences,37355,570,4330,1635
(8) Computer science,79905,4240,11600,5400
(9) Engineering & technology,130685,3835,20615,10015
"(A) Architecture, building & planning",41760,1575,5820,2110
(B) Social studies,185455,4625,20335,11295
(C) Law,74920,2250,8430,4140
(D) Business & administrative studies,276860,7515,32460,16590
(E) Mass communications & documentation,43655,805,3490,2465
(F) Languages,86070,1790,11775,7410
(G) Historical & philosophical studies,68390,1280,11285,4500
(H) Creative arts & design,152940,2155,12210,8390
(I) Education,119440,6315,15235,10070
(J) Combined,25305,1145,8165,4020
