Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
Scottish Borders,"113,360",685,595,1,"113,590",520,505,0,"113,690",394,497,-1,"113,880",373,307,1,"113,720",383,449,-1,"113,880",250,423,-2,"114,040",283,456,-2,"114,030",264,314,0,"114,530",315,312,0,," 115,020 ",0, 257 , 240 
Shetland Islands,"22,480",94,91,0,"22,790",148,70,3,"23,060",102,78,1,"23,240",101,66,2,"23,210",91,89,0,"23,200",60,92,-1,"23,220",51,90,-2,"23,200",93,61,1,"23,200",91,52,2,," 23,080 ",-1, 53 , 71 
South Ayrshire,"112,610",330,406,-1,"112,490",275,381,-1,"112,600",327,353,0,"112,980",306,226,1,"112,920",241,341,-1,"112,870",167,360,-2,"112,530",166,332,-1,"112,400",254,240,0,"112,470",256,218,0,," 112,680 ",0, 251 , 247 
South Lanarkshire,"311,320",708,891,-1,"312,180",717,765,0,"313,180",688,744,0,"313,900",560,561,0,"314,330",449,770,-1,"314,810",308,732,-1,"315,300",371,744,-1,"316,230",454,615,-1,"317,100",640,507,0,," 318,170 ",0, 523 , 542 
Stirling,"88,540",927,668,3,"88,690",959,604,4,"89,550","1,249",586,7,"90,330","1,363",378,11,"91,010","1,054",639,5,"91,230",685,738,-1,"91,520",614,658,0,"92,830","1,033",396,7,"93,750",818,377,5,," 94,000 ",0, 603 , 605 
Aberdeen City,"214,020","5,409","2,379",14,"217,020","5,864","2,195",17,"219,730","5,851","2,109",17,"222,460","5,284","1,154",19,"224,910","4,414","2,312",9,"227,070","3,636","2,334",6,"228,920","4,202","2,237",9,"230,350","4,590","1,401",14,"229,840","4,157","1,683",11,," 228,800 ",7," 3,182 "," 1,691 "
Aberdeenshire,"246,840","1,514","1,109",2,"249,020","1,513",908,2,"251,430","1,558",839,3,"253,650","1,438",715,3,"255,560","1,062",853,1,"257,770",978,862,0,"260,530","1,062",938,0,"261,960","1,080",824,1,"262,190",978,662,1,," 261,800 ",1, 758 , 547 
Argyll and Bute,"89,910",414,640,-3,"89,450",432,483,-1,"88,620",475,389,1,"88,930",360,305,1,"86,910",304,475,-2,"88,050",235,446,-2,"87,650",239,473,-3,"86,890",299,384,-1,"87,130",351,313,0,," 86,810 ",0, 296 , 332 
City of Edinburgh,"458,520","9,990","6,005",9,"463,240","10,654","4,383",14,"469,940","11,837","4,536",16,"477,940","11,219","3,142",17,"482,630","9,306","5,248",8,"487,460","7,251","5,298",4,"492,610","8,462","5,188",7,"498,810","9,650","3,601",12,"507,170","10,467","3,676",13,," 513,210 ",9," 8,538 "," 4,030 "
Renfrewshire,"172,640",690,558,1,"173,020",662,563,1,"173,700",847,503,2,"174,700",729,273,3,"174,300",428,512,0,"173,890",331,537,-1,"174,230",431,439,0,"174,560",548,270,2,"175,930",804,292,3,," 176,830 ",2, 631 , 346 
West Dunbartonshire,"91,190",156,230,-1,"91,080",172,202,0,"90,800",200,149,1,"90,610",160,149,0,"90,340",112,170,-1,"89,800",101,198,-1,"89,710",116,147,0,"89,590",121,154,0,"89,860",194,108,1,," 89,610 ",0, 135 , 110 
West Lothian,"171,380","1,144",676,3,"173,040",957,529,2,"174,090",930,520,2,"175,300",871,326,3,"176,010",743,482,1,"176,160",500,518,0,"177,200",561,498,0,"178,550",561,365,1,"180,130",657,283,2,," 181,310 ",1, 523 , 315 
Angus,"114,490",516,409,1,"114,830",458,313,1,"115,410",554,339,2,"116,200",513,278,2,"116,220",369,358,0,"116,290",279,366,-1,"116,740",340,313,0,"116,900",290,301,0,"116,520",346,273,1,," 116,280 ",0, 304 , 254 
Dundee City,"144,290","2,072","1,122",7,"145,170","1,924",890,7,"146,060","2,196",938,9,"147,200","2,250",674,11,"147,780","1,583","1,018",4,"148,100","1,374","1,054",2,"148,130","1,276","1,021",2,"148,210","1,388",717,5,"148,270","1,439",637,5,," 148,710 ",3," 1,181 ", 785 
North Lanarkshire,"333,290","1,079",982,0,"335,160",899,880,0,"336,280",781,804,0,"337,720",633,517,0,"337,890",528,732,-1,"337,780",410,752,-1,"338,000",490,655,0,"338,260",623,458,0,"339,390",735,469,1,," 339,960 ",0, 584 , 534 
East Dunbartonshire,"104,940",136,257,-1,"104,960",180,209,0,"104,920",154,223,-1,"105,000",160,233,-1,"105,880",111,202,-1,"105,840",77,199,-1,"106,710",102,210,-1,"106,960",105,218,-1,"107,540",186,136,0,," 108,130 ",0, 141 , 155 
Glasgow City,"576,200","9,769","5,521",7,"581,620","10,022","4,574",9,"586,500","10,165","4,782",9,"593,060","10,256","3,196",12,"595,070","8,550","5,010",6,"596,520","7,088","5,023",3,"599,640","8,897","4,901",7,"606,340","10,409","3,332",12,"615,070","11,462","3,527",13,," 621,020 ",9," 9,705 "," 4,311 "
Fife,"360,050","2,209","1,825",1,"361,410","2,403","1,344",3,"362,610","2,678","1,427",3,"365,300","2,298",998,4,"366,210","1,962","1,603",1,"366,900","1,510","1,564",0,"367,250","1,629","1,520",0,"368,080","1,918","1,090",2,"370,330","2,051","1,009",3,," 371,410 ",2," 1,680 "," 1,009 "
Perth and Kinross,"143,130","2,343",963,10,"144,370","2,160",991,8,"145,600","2,130",963,8,"146,850","1,628",511,8,"147,740","1,384",932,3,"147,770",841,851,0,"148,930","1,241",774,3,"149,930",948,485,3,"150,680",938,518,3,," 151,100 ",1, 702 , 554 
Isle of Anglesey / Ynys Môn,"69,916",162,129,0,"69,884",141,136,0,"69,833",121,189,-1,"69,913",113,95,0,"70,037",149,125,0,"70,073",123,70,1,"70,141",130,74,1,"69,936",130,85,1,"69,665",111,44,1,,"69,794",1,124,53
Gwynedd / Gwynedd,"119,746","1,203",614,5,"120,344","1,007",718,2,"121,155","1,277","1,189",1,"121,523","1,002",668,3,"122,007",970,563,3,"121,653",900,327,5,"121,897",965,425,4,"122,635","1,361",528,7,"123,323","1,171",415,6,,"123,742",4,991,552
Conwy / Conwy,"114,371",361,475,-1,"114,623",384,497,-1,"114,682",292,655,-3,"115,326",230,385,-1,"115,553",300,315,0,"115,912",277,161,1,"116,420",293,220,1,"116,450",312,248,1,"116,820",270,138,1,,"116,863",1,258,183
Denbighshire / Sir Ddinbych,"94,739",311,302,0,"94,444",272,228,0,"94,152",198,262,-1,"93,919",161,213,-1,"94,053",197,255,-1,"94,518",188,109,1,"94,837",201,143,1,"94,836",234,145,1,"94,984",217,105,1,,"95,159",1,203,148
Flintshire / Sir y Fflint,"151,501",547,331,1,"151,985",414,307,1,"152,080",274,341,0,"152,666",294,238,0,"152,776",373,328,0,"153,223",413,194,1,"153,819",450,287,1,"154,085",521,408,1,"154,626",651,277,2,,"155,155",0,510,451
Wrexham / Wrecsam,"132,371","1,096",423,5,"133,295","1,266",400,6,"134,009","1,156",561,4,"135,070",761,330,3,"135,498",903,924,0,"135,801",678,384,2,"135,953",538,556,0,"135,418",546,742,-1,"135,408",624,442,1,,"135,571",-1,564,712
Ceredigion / Ceredigeon,"74,971",677,518,2,"74,642",738,476,4,"75,217",732,666,1,"75,293",620,553,1,"75,932",628,546,1,"75,789",618,247,5,"75,133",563,445,2,"74,211",593,450,2,"73,665",553,261,4,,"73,076",1,533,434
Pembrokeshire / Sir Benfro,"121,134",559,449,1,"121,563",572,465,1,"121,974",366,654,-2,"122,613",333,343,0,"123,135",333,197,1,"123,375",251,143,1,"123,826",289,159,1,"123,671",315,216,1,"124,237",297,122,1,,"124,711",1,289,200
Carmarthenshire / Sir Gaerfyrddin,"182,517",675,362,2,"182,846",500,294,1,"183,004",386,324,0,"183,961",331,259,0,"184,332",470,437,0,"184,669",517,209,2,"184,968",602,320,2,"185,247",539,363,1,"185,754",487,231,1,,"186,452",1,525,362
Swansea / Abertawe,"234,139","1,931","1,073",4,"235,601","1,804","1,042",3,"237,311","1,789","1,431",2,"238,691","1,785","1,006",3,"239,460","1,752","1,364",2,"240,108","1,856",710,5,"240,966","2,215","1,135",4,"242,316","2,560","1,160",6,"244,462","2,756",896,8,,"245,480",5,"2,454","1,187"
Neath Port Talbot / Castell-nedd Port Talbot,"139,481",170,193,0,"139,537",172,144,0,"139,638",117,160,0,"139,880",119,127,0,"140,081",168,175,0,"139,867",199,93,1,"140,453",181,106,1,"140,946",182,121,0,"141,678",392,92,2,,"142,090",1,226,125
Bridgend / Pen-y-bont ar Ogwr,"137,175",333,286,0,"137,783",284,218,0,"138,471",217,282,0,"139,410",204,230,0,"139,769",237,261,0,"140,536",225,121,1,"141,287",366,217,1,"142,259",310,188,1,"143,408",427,156,2,,"144,288",1,404,202
Vale of Glamorgan / Bro Morgannwg,"125,713",398,292,1,"126,162",324,263,0,"126,435",222,301,-1,"126,679",206,316,-1,"126,998",252,292,0,"127,436",243,149,1,"128,009",284,190,1,"127,980",307,220,1,"128,891",310,150,1,,"130,690",0,270,210
Cardiff / Caerdydd,"332,790","5,200","2,751",7,"337,656","5,465","3,223",7,"341,402","4,804","4,324",1,"345,442","4,699","4,175",2,"348,724","4,256","4,466",-1,"352,146","4,723","2,284",7,"354,829","5,248","3,345",5,"357,496","5,760","4,026",5,"361,168","5,343","2,591",8,,"362,756",4,"4,987","3,501"
Rhondda Cynon Taf / Rhondda Cynon Taf,"234,724","1,037",509,2,"234,743",964,619,1,"234,459","1,004",846,1,"234,373",751,631,1,"235,612",756,363,2,"236,166",790,193,3,"236,871",838,324,2,"237,378",993,339,3,"238,179",790,280,2,,"239,127",1,730,388
Caerphilly / Caerffili,"176,259",189,162,0,"177,159",172,207,0,"178,101",123,248,-1,"178,782",122,192,0,"179,014",143,197,0,"179,230",148,115,0,"179,933",184,129,0,"180,168",178,126,0,"180,453",179,93,0,,"180,795",0,171,152
Blaenau Gwent / Blaenau Gwent,"69,820",139,70,1,"69,850",142,79,1,"69,798",54,99,-1,"69,812",69,51,0,"69,806",85,100,0,"69,764",93,47,1,"69,653",106,60,1,"69,547",126,67,1,"69,630",119,49,1,,"69,609",1,112,71
Torfaen / Tor-faen,"91,094",135,115,0,"91,199",121,117,0,"91,060",100,145,0,"91,190",66,89,0,"91,346",94,106,0,"91,362",84,67,0,"91,549",93,70,0,"91,767",103,82,0,"91,994",117,51,1,,"92,264",0,96,70
Monmouthshire / Sir Fynwy,"90,109",254,291,0,"90,557",222,257,0,"91,016",147,332,-2,"91,508",132,220,-1,"91,737",197,258,-1,"92,249",172,122,1,"92,540",200,162,0,"92,805",210,165,0,"93,276",263,103,2,,"93,590",1,218,169
Newport / Casnewydd,"142,744","1,272",524,5,"143,753","1,111",674,3,"144,803",903,869,0,"145,785",878,777,1,"146,275",983,844,1,"146,741",766,420,2,"147,119",916,548,3,"147,958",934,626,2,"149,478","1,173",402,5,,"151,485",2,998,622
Powys / Powys,"132,865",513,322,1,"133,090",354,312,0,"132,878",252,497,-2,"133,071",231,267,0,"133,015",280,334,0,"132,786",284,184,1,"132,777",340,283,0,"132,730",355,393,0,"132,337",333,183,1,,"132,515",1,385,255
Merthyr Tydfil / Merthyr Tudful,"57,688",216,79,2,"58,156",245,65,3,"58,493",136,72,1,"58,851",134,67,1,"58,907",187,129,1,"59,008",177,65,2,"59,056",178,85,2,"59,247",130,79,1,"59,714",243,69,3,,"59,953",1,182,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
