Name,Mid-2008 Population,Inflow 2008,Outflow 2008,Net Migration Rate 2008,Mid-2009 Population,Inflow 2009,Outflow 2009,Net Migration Rate 2009,Mid-2010 Population,Inflow 2010,Outflow 2010,Net Migration Rate 2010,Mid-2011 Population,Inflow 2011,Outflow 2011,Net Migration Rate 2011,Mid-2012 Population,Inflow 2012,Outflow 2012,Net Migration Rate 2012 ,Mid-2013 Population,Inflow 2013,Outflow 2013,Net Migration Rate 2013,Mid-2014 Population,Inflow 2014,Outflow 2014,Net Migration Rate 2014,Mid-2015 Population,Inflow 2015,Outflow 2015,Net Migration Rate 2015,Mid-2016 Population,Inflow 2016,Outflow 2016,Net Migration Rate 2016,,Mid-2017 Population,Net Migration Rate 2017,Inflow 2017,Outflow 2017
City of London,"7,429",419,174,33,"7,472",629,258,50,"7,338",621,493,17,"7,412",899,483,56,"6,612",698,"1,482",-119,"6,031",624,"1,097",-78,"6,139",698,780,-13,"6,687",941,416,79,"7,246",927,323,83,,"7,654",41,756,441
Barking and Dagenham,"172,452","3,360",892,14,"177,580","3,679",948,15,"182,838","3,878",574,18,"187,029","3,160",586,14,"190,663","2,479",815,9,"194,576","2,269",753,8,"198,650","3,426",742,14,"203,101","3,898",616,16,"208,182","4,689",799,19,,"210,711",15,"4,185",959
Barnet,"339,212","8,045","3,315",14,"345,829","7,931","4,045",11,"351,438","7,201","3,809",10,"357,538","8,311","3,329",14,"363,777","6,748","3,033",10,"368,301","6,092","2,793",9,"373,745","7,720","3,321",12,"378,778","8,636","2,969",15,"384,774","8,257","3,450",12,,"387,803",11,"7,622","3,506"
Bexley,"226,652","1,300",525,3,"228,146","1,348",479,4,"230,711","1,492",324,5,"232,774","1,214",280,4,"234,308",960,429,2,"236,816",970,364,3,"240,016","1,144",415,3,"242,387","1,284",430,4,"245,095","1,408",523,4,,"246,124",2,"1,159",556
Brent,"290,901","12,182","4,004",28,"298,118","10,281","4,138",21,"304,785","10,228","4,523",19,"312,245","8,829","3,110",18,"314,593","8,027","5,230",9,"317,112","8,323","4,394",12,"320,101","11,257","5,041",19,"323,443","11,727","3,997",24,"326,427","11,598","4,193",23,,"329,102",18,"10,765","4,740"
Bromley,"304,968","1,798","1,009",3,"306,924","1,889","1,149",2,"308,560","1,723",949,3,"310,554","1,599",732,3,"314,039","1,446",973,2,"318,167","1,338",736,2,"321,602","1,694",904,2,"325,303","1,815",898,3,"327,580","1,936",936,3,,"329,391",2,"1,640","1,059"
Camden,"210,273","8,704","5,984",13,"212,924","10,699","7,005",17,"214,725","11,422","7,927",16,"220,087","13,788","6,346",34,"224,809","11,946","6,918",22,"230,486","11,010","5,346",25,"236,022","12,531","5,829",28,"243,837","14,501","5,393",37,"249,162","12,775","5,947",27,,"253,361",22,"11,815","6,140"
Croydon,"349,308","5,401","2,526",8,"352,763","4,512","2,840",5,"357,951","4,648","2,646",6,"364,815","4,197","2,204",5,"369,189","3,548","1,779",5,"373,628","3,293","1,586",5,"377,073","4,236","1,881",6,"380,070","4,495","2,050",6,"383,301","4,674","2,127",7,,"384,837",4,"4,008","2,385"
Ealing,"324,022","9,273","5,251",12,"329,966","9,216","5,978",10,"334,073","9,411","6,370",9,"339,314","9,626","5,099",13,"340,332","7,248","5,850",4,"342,108","6,946","4,617",7,"342,997","8,221","4,658",10,"344,285","8,549","4,197",13,"344,802","8,788","4,755",12,,"342,736",6,"7,866","5,798"
Enfield,"297,443","5,919","2,024",13,"301,971","5,318","1,964",11,"307,648","5,272","1,358",13,"313,935","3,836","1,169",8,"317,257","3,254","1,409",6,"320,317","3,037","1,291",5,"324,409","4,291","1,257",9,"328,738","4,813","1,175",11,"332,127","5,142","1,317",12,,"332,705",9,"4,524","1,471"
